company,title,sector,location,career,education,category
(주)스카우트,글로벌 마케팅 성과관리 (경력 7~15년),데이터분석가데이터엔지니어데이터시각화AI(인공지능)마케팅전략 외,서울 강남구,7 ~ 15년 · 정규직,대학교(4년)↑,Data Analysis
(주)스카우트,VoC 데이터 분석가 (CX/VoC Data Analyst),데이터분석가데이터엔지니어데이터시각화AI(인공지능)광고마케팅 외,서울 강남구,7 ~ 14년 · 정규직,대학교(4년)↑,Data Analysis
(주)스카우트,DCAM (Data Consulting &amp; Analytics Manager),데이터분석가데이터엔지니어데이터시각화AI(인공지능)마케팅전략 외,서울 강남구,5 ~ 14년 · 정규직,대학교(4년)↑,Data Analysis
제이앤파트너즈코리아(주),AI 신설팀 경력직 [전략팀장·PM·Data Architect·엔지니어],딥러닝머신러닝Pytorch,서울 용산구,경력 3년↑ · 정규직,대학교(4년)↑,Deep Learning
엔터웨이파트너스,라이징 스타트업 물류시장을 혁신할 AI/ML 개발자,딥러닝머신러닝AI(인공지능)PytorchTensorflow,서울전체 외,경력무관 · 정규직,석사↑,Deep Learning
(주)헬로서치,외국계 대기업 Sales Admin 채용 [강남/경력협의/세일즈포스],데이터분석가사무직사무보조사무행정Excel 외,서울 강남구,경력무관 · 파견직,대학교(4년)↑,Data Analysis
(주)터닝포인트에이치알,"대형 IT기업,  Microsoft 365 엔지니어 경력자",기술지원유지보수IT컨설팅SE(시스템엔지니어)ICT컨설팅 외,서울 강남구,경력 3년↑ · 정규직,"대학(2,3년)↑",Other
(주)터닝포인트에이치알,"대형 IT기업,  Microsoft 엔지니어",기술지원유지보수IT컨설팅SE(시스템엔지니어)ICT컨설팅 외,서울 강남구,경력 3년↑ · 정규직,"대학(2,3년)↑",Other
(주)터닝포인트에이치알,"대형 IT기업, 보안솔루션 영업팀장",기술지원보안컨설팅유지보수IT컨설팅SE(시스템엔지니어) 외,서울 강남구,경력 7년↑ · 정규직,"대학(2,3년)↑",Other
(주)터닝포인트에이치알,"대형 IT기업,   보안솔루션 세일즈 엔지니어",기술지원유지보수IT컨설팅SE(시스템엔지니어)ICT컨설팅 외,서울 강남구,경력 4년↑ · 정규직,"대학(2,3년)↑",Other
(주)터닝포인트에이치알,"대형 IT기업, 솔루션 마케팅 경력",기술지원보안컨설팅유지보수IT컨설팅SE(시스템엔지니어) 외,서울 강남구,경력 4년↑ · 정규직,대학교(4년)↑,Other
(주)터닝포인트에이치알,"대형 IT기업, 영남지역 SW,솔루션영업 경력자",기술지원보안컨설팅유지보수IT컨설팅SE(시스템엔지니어) 외,서울 강남구,경력 3년↑ · 정규직,"대학(2,3년)↑",Other
굿커리어,"외국계 ADAS,자율주행 인식 알고리즘 개발 대리,과장급(굿커리어",딥러닝머신러닝모델링빅데이터솔루션 외,서울 강남구,5 ~ 15년 · 정규직,대학교(4년)↑,Deep Learning
피플앤피플,[에이전틱 AI(Agentic AI) 솔루션 기업] 솔루션 아키텍쳐,데이터엔지니어SE(시스템엔지니어)SI개발솔루션아키텍쳐 외,서울 강남구,경력 10년↑ · 정규직,대학교(4년)↑,Data Engineer
(주)터닝포인트에이치알,"그룹사 대기업 계열사, AWS 클라우드 영업",기술지원보안컨설팅유지보수IT컨설팅SE(시스템엔지니어) 외,서울 강남구,경력 4년↑ · 정규직,대학교(4년)↑,Other
(주)투비파트너즈,"[인재채용]AI컨설턴트(자동차부품, 과장-차장급) 부문 경력 채용",데이터분석가데이터엔지니어IT컨설팅poc,서울 강남구,10 ~ 18년 · 정규직,대학교(4년)↑,Data Analysis
에이치알서비스(주),+[여의도역/대기업 계열사] QA 채용 (Android·iOS·Web),기술지원데이터엔지니어유지보수QA/테스터검색엔진 외,서울 영등포구,경력무관 · 파견직,학력무관,Data Engineer
(주)키스템프그룹,[명동역/신입가능/스펙UP] 삼양식품 IT 자산관리직 채용,기술지원데이터분석가IT컨설팅네트워크컴퓨터비전 외,서울 중구,신입 · 파견직,고졸↑,Data Analysis
